순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9788936433673,3810.0,813.7,"5,695",2015
2,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,25.0,9788937884085,77400.0,400.0,"5,586",2015
3,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,24.0,9788937884078,77400.0,400.0,"5,321",2015
4,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,21.0,9788937884047,77400.0,400.0,"5,261",2015
5,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,22.0,9788937884054,77400.0,400.0,"5,251",2015
6,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,27.0,9788950952587,77720.0,711.4,"5,204",2015
7,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,26.0,9788937884795,77400.0,400.0,"5,137",2015
8,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,23.0,9788937884061,77400.0,400.0,"5,128",2015
9,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,27.0,9788937884801,77400.0,400.0,"5,096",2015
10,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,20.0,9788937847721,77400.0,400.0,"4,981",2015
11,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,28.0,9788950954949,77720.0,711.4,"4,919",2015
12,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,28.0,9788937884818,77400.0,400.0,"4,840",2015
13,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,26.0,9788950950750,77720.0,711.4,"4,739",2015
14,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,25.0,9788950948030,77720.0,711.4,"4,709",2015
15,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,18.0,9788937847707,77400.0,400.0,"4,664",2015
16,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2020,19.0,9788937847714,77400.0,400.0,"4,631",2015
17,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,홍거북",아울북,2005-2020,23.0,9788950939618,77720.0,711.4,"4,547",2015
