순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"2,243",2000
2,"말할 수 있는 중국어, 들을 수 있는 중국어:생활회화",류기수 지음,백산서당,1997,,9.78897E+12,3720,727.5,"1,697",2000
3,윤효석 작품집,尹孝錫 著,梨花文化出版社,1997,,9.78898E+12,3570,648,972,2000
4,여자는 모른다,이시형 지음,살림출판사,1999,,9.78895E+12,3810,181.71,872,2000
5,모순:양귀자 장편소설,양귀자 지음,살림출판사,1998,,9.78899E+12,3810,813.6,609,2000
6,왜란 종결자,이우혁 지음,들녘,1998,1,9.78898E+12,3810,813.6,594,2000
7,(만화로 보는)신라 왕조 1000년,허순봉 글구성;박종관 그림,능인,1998,,9.78894E+12,77910,911.034,586,2000
8,오체 불만족,오토다케 히로타다 지음;전경빈 옮김,창해,1999,,9.78898E+12,3830,838,561,2000
9,아버지:김정현 장편소설,김정현 지음,문이당,1996,,9.78897E+12,3810,813.6,549,2000
10,(웃음천국)텔레토비와 사오정,웃음을 찾는 사람들 지음;[우승용 만화],백양출판사,1999,,9.78897E+12,73810,817,545,2000
11,(조창인 장편소설)가시고기,조창인 지음,밝은세상,2000,,9.78898E+12,3810,813.6,543,2000
12,(만화로 보는)고려 왕조 500년,허순봉 글구성;박종관 그림,능인,1997,,9.78894E+12,77910,911.04,527,2000
13,(만화로 보는)고구려 왕조 700년,허순봉 글구성;박종관 그림,능인,1998,,9.78894E+12,77910,911.032,509,2000
14,왕따! 이야기,공숙자 글씀;이해광 그림,계림출판사,1999,,9.78898E+12,64800,370.88,485,2000
15,랭보시선 ,아르튀르 랭보 지음 ;이준오 옮김,책세상,1998,,9.78897E+12,3860,861,482,2000
16,(김진명 장편소설)하늘이여 땅이여,김진명 지음.,해냄출판사,1998,1,9.78897E+12,3810,813.6,441,2000
16,철도원:아사다 지로 소설,아사다 지로 지음;양윤옥 옮김,문학동네,1999,,9.78898E+12,3830,833.6,441,2000
18,"(세계명작)셰익스피어의 네가지 슬픈이야기:리어왕, 오셀로, 햄릿, 맥베스",셰익스피어 지음;박현자 그림,지경사,1992,,9.78893E+12,73840,843,430,2000
18,러브레터,이와이 순지 지음;권남희 옮김,집사재,1998,,9.78899E+12,3830,833.6,430,2000
20,퇴마록:세계편,이우혁 지음,들녘,1995,1,9.78898E+12,3810,813.6,427,2000
21,뚝딱 우리말:저학년,나이테 글;심의섭 그림,문공사,1999,,9.78895E+12,67710,710,422,2000
22,(현직 초등학교 선생님이 보고느낀)공부를 잘하는 아이들의 20가지 습관,박신식 글씀;원혜진 그림,문공사,1998,,9.78895E+12,63890,373,410,2000
23,항일 독립 운동 근대 50년,허순봉 글구성;한결 그림,능인,1999,,9.78894E+12,77910,911.06,397,2000
24,(만화로 보는)백제 왕조 700년,허순봉 글구성;박종관 그림,능인,1998,,9.78894E+12,77910,911.033,386,2000
25,(만화로 보는) 조선 왕조 500년 ,허순봉 글구성 ;박종관 그림,능인,1997,,9.78894E+12,77910,911.05,378,2000
