순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
47,다빈치 코드 ,댄 브라운 지음 ;양선아 옮김,베텔스만 코리아,2004,2,9.78896E+12,4840,843.5,"1,494",2005
48,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,10,9.78899E+12,73480,219,"1,491",2005
49,수학 귀신 :수학을 싫어하는 한 소년이 수학의 원리를 깨우치기까지 ,한스 마그누스 엔첸스베르거 글 ;고영아 옮김,비룡소,1998,,9.78895E+12,43850,410,"1,490",2005
50,우리들의 일그러진 영웅,이문열 지음,다림,1999,,9.78899E+12,73810,813.6,"1,480",2005
51,(구성애 아줌마의) 초딩 아우성 ,구성애 글 ;리갤러리 그림,올리브M&B,2004,,9.78899E+12,77510,334.22,"1,469",2005
52,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,1,9.78895E+12,74840,843,"1,466",2005
53,아빠에게 돌 던지는 아이,고정욱 글;박지훈 그림,JDM중앙출판사,2004,,9.78895E+12,74810,813.6,"1,434",2005
54,(교과서와 함께 읽는)우리 고구려사,정재홍 글·그림,김영사,2003,2,9.78893E+12,77910,911.03,"1,433",2005
55,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,2,9.78895E+12,73840,843,"1,430",2005
56,"미술, 공간, 도시:공공미술과 도시의 미래",맬컴 마일스 지음;박삼철 옮김,학고재,2000,,9.78899E+12,3600,539.7,"1,426",2005
57,소원을 들어주는 선물,김선희 글;이상권 그림,웅진닷컴,2004,,9.7889E+12,74810,813.6,"1,406",2005
58,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,10,9.78898E+12,77210,219,"1,383",2005
59,(박완서 동화집)자전거 도둑,박완서 글;한병호 그림,다림,2000,,9.78899E+12,73810,813.6,"1,378",2005
60,인간,베르나르 베르베르 지음;이세욱 옮김,열린책들,2004,,9.78893E+12,3860,863,"1,377",2005
61,바다에서 살아남기,코믹컴 글;정준규 그림,대한교과서,2003,,9.78894E+12,77450,400,"1,372",2005
62,(지도 없이 떠나는)101일간의 세계 일주,호기심박스 글;노기동 그림,영교출판,2004,,9.78898E+12,73400,909,"1,368",2005
63,(위기철 소설)아홉살 인생,위기철 지음,청년사,2002,,9.78897E+12,3810,813.6,"1,363",2005
64,짱뚱이의 아빠,오진희 글;신영식 그림,파랑새어린이,2004,6,9.78897E+12,77810,813.6,"1,361",2005
65,양파의 왕따 일기,문선 글;박철민 그림,파랑새어린이,2001,,9.78897E+12,73810,813.6,"1,360",2005
66,공부9단 오기10단,박원희 지음,김영사,2004,,9.78893E+12,3810,373.4,"1,354",2005
67,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,2000-2005,11,9.78899E+12,74840,219,"1,343",2005
68,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,,9.78898E+12,3860,879,"1,342",2005
69,(만화)열두 살에 부자가 된 키라,보도 섀퍼 원작;그림나무 글·그림,북21 을파소,2002,1,9.78895E+12,77320,325,"1,341",2005
70,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,,9.78897E+12,77850,813.6,"1,340",2005
71,(만화)열두 살에 부자가 된 키라,보도 섀퍼 원작;그림나무 글·그림,북21 을파소,2002,3,9.78895E+12,77320,325,"1,331",2005
72,(만화)열두 살에 부자가 된 키라,보도 섀퍼 원작;그림나무 글·그림,북21 을파소,2002,2,9.78895E+12,77320,325,"1,330",2005
73,(교과서와 함께 읽는)우리 고구려사,정재홍 글·그림,김영사,2003,1,9.78893E+12,77910,911.03,"1,322",2005
74,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,12,9.78893E+12,77940,909,"1,313",2005
75,(하울의)움직이는 성,다이애나 윈 존스 지음,문학수첩 리틀북스,2004-2010,2,9.78899E+12,4840,843,"1,312",2005
76,돈을 알자! 경제를 알자!,국민은행 금융교육팀 엮음;김재일 그림,중앙M&B출판,2003,,9.78896E+12,77320,320,"1,308",2005
77,은총이와 은별이,강민숙 글;허주연 그림,영교출판,2004,,9.78898E+12,73810,813.6,"1,293",2005
78,나는 싸기 대장의 형님,조성자 글;김병하 그림,시공사,2001,,9.78895E+12,73810,813.6,"1,292",2005
78,(시간에 쫓기지 않고 성공하는)정리형 아이,안재경...[등]지음;박기종 그림,큰나,2004,,9.789E+12,73810,199,"1,292",2005
80,(정재승의 만화)과학 콘서트,정재승 글;김석 그림,휴머니스트,2004-2005,1,9.78899E+12,77400,400,"1,288",2005
81,산에서 살아남기,코믹컴 글;문정후 그림,대한교과서,2004,10,9.78894E+12,77450,400,"1,287",2005
82,해리포터와 불의 잔,조앤 K. 롤링 지음;최인자 [공]옮김,문학수첩,2000,41,9.78898E+12,4840,843,"1,286",2005
82,아낌없이 주는 이야기,김현태 글;원혜진 그림,아이앤북,2004,,9.78899E+12,73800,199,"1,286",2005
84,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,9,9.78893E+12,77920,909,"1,283",2005
85,엄마 내 마음이 아파요,노경실 글;이형진 그림,청년사,2003,,9.78897E+12,73810,813.6,"1,277",2005
86,섬과 개,이지현 지음;이영균 사진,문공사,2003,,9.78895E+12,73800,813.6,"1,272",2005
87,산에서 살아남기,코믹컴 글;문정후 그림,대한교과서,2004,,9.78894E+12,77450,400,"1,271",2005
87,누리야 누리야,양귀자 지음,문공사,2002,,9.78895E+12,73800,813.6,"1,271",2005
89,행복한 붕어빵,이철환 글;김경희 그림,반딧불이,2005,,9.78899E+12,73810,818,"1,267",2005
90,열 살이면 세상을 알 만한 나이,노경실 글;이상권 그림,푸른숲,2001,,9.78897E+12,73810,813.6,"1,266",2005
91,제3의 시나리오,김진명 저,랜덤하우스중앙,2004,1,9.78896E+12,4810,813.6,"1,262",2005
92,까막눈 삼디기,원유순 글;이현미 그림,웅진닷컴,2001,,9.7889E+12,74810,813.6,"1,259",2005
93,(만화)삼국지,나관중 원작;이희재 만화,대한교과서,2001-2002,1,9.78894E+12,77820,823.5,"1,253",2005
94,(만화로 보는)중국 신화,"최창륵,김택규 역",가나출판사,2004-2006,2,9.78896E+12,77820,219,"1,252",2005
95,(귀여니 이야기)그놈은 멋있었다,귀여니 지음,황매,2004,1,9.78899E+12,4810,813.6,"1,249",2005
96,왕따 없는 교실,김문주 지음;전미영 그림,문학사상사,2004,,9.78897E+12,73810,813.6,"1,248",2005
97,시베리아에서 살아남기,코믹컴 글;정준규 그림,대한교과서,2004,,9.78894E+12,77400,400,"1,241",2005
98,(만화로 보는)북유럽 신화,강주현 구성;신영미 그림,창해,2002-2003,9,9.78898E+12,77210,219,"1,239",2005
99,동굴에서 살아남기,코믹컴 글;문정후 그림,대한교과서,2004,,9.78894E+12,77450,400,"1,237",2005
100,(청소년)토지:박경리 대하소설,박경리 지음;토지문학연구회 엮음,이룸,2003,2,9.78896E+12,4810,813.6,"1,235",2005
101,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,2002,,9.78899E+12,73810,813.6,"1,233",2005
102,자장면을 먹은 꼬불이:열두 살 새림이가 그린 가족 만화,기새림 글·그림,김영사,2003,,9.78893E+12,77810,657,"1,226",2005
103,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,5,9.78895E+12,73840,843,"1,219",2005
104,1000년 동안 가장 많이 읽힌 우리 고전 16가지,장세현 글;장인찬 그림,아이앤북,2004,,9.78899E+12,73800,813.5,"1,216",2005
105,소중한 너에게 아빠가 꼭 들려주고 싶은 이야기,필립 체스터필드 원작;조은실 그림,글송이,2004,,9.78896E+12,73800,199,"1,215",2005
106,화산에서 살아남기,코믹컴 글;정준규 그림,대한교과서,2002,,9.78894E+12,77450,400,"1,212",2005
107,해리포터와 불의 잔,조앤 K. 롤링 지음;최인자 [공]옮김,문학수첩,2000,43,9.78898E+12,4840,843,"1,207",2005
108,돼지책,앤서니 브라운 글·그림;허은미 옮김,웅진닷컴,2001,,9.7889E+12,74840,843,"1,204",2005
109,짝꿍 바꾸기,한예찬 글;김태현 그림,바른사,2002,,9.78897E+12,73810,813.6,"1,198",2005
109,선생님은 모르는 게 너무 많아,강무홍 지음;이형진 그림,사계절출판사,2001,,9.78897E+12,73810,813.6,"1,198",2005
109,진주 귀고리 소녀,트레이시 슈발리에 지음;양선아 옮김,강,2003,,9.78898E+12,3840,843,"1,198",2005
109,금희 언니,목온균 글;장인한 그림,아이앤북,2003,,9.78899E+12,73810,813.6,"1,198",2005
113,빈대 가족의 가난 탈출기,이룸 글;류수형 그림,재미북스,2005,,9.78899E+12,77000,320,"1,197",2005
114,(앤서니 브라운의) 행복한 미술관 ,글·그림: 앤서니 브라운 ;옮긴이: 서애경,웅진씽크빅,2006,,9.7889E+12,74800,843,"1,196",2005
115,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,2002-2018,10,9.78895E+12,73840,843,"1,190",2005
116,(귀여니 이야기)그놈은 멋있었다,귀여니 지음,황매,2004,2,9.78899E+12,4810,813.6,"1,189",2005
117,신데렐라와 마법의 거울조각,그림나무 글·그림,북21 을파소,2004,,9.78895E+12,77320,189,"1,186",2005
117,비나리 달이네 집,권정생 글;김동성 그림,낮은산,2001,,9.78899E+12,73810,813.6,"1,186",2005
