순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"8,578",2005
2,다빈치 코드 ,댄 브라운 지음 ;양선아 옮김,베텔스만 코리아,2004,1,9.78896E+12,4840,843.5,"5,659",2005
3,다빈치 코드 ,댄 브라운 지음 ;양선아 옮김,베텔스만 코리아,2004,2,9.78896E+12,4840,843.5,"5,483",2005
4,"줄리어스, 어디 있니? ",글·그림: 존 버닝햄 ;옮김: 김정희,현북스,2013,,9.789E+12,77840,843,"4,675",2005
5,(박완서 장편소설)그 남자네 집,박완서 지음,현대문학,2004,,9.78897E+12,3810,813.6,"4,653",2005
6,가슴이 따뜻한 천재로 키워라,시치다 마코토 지음;박지영 옮김,북뱅크,2001,,9.78899E+12,3370,598.122,"4,134",2005
7,사냥꾼을 만난 꼬마곰 ,앤서니 브라운 글·그림 ;공경희 옮김,웅진씽크빅,2015,,9.7889E+12,74840,843,"3,632",2005
8,11분:파울로 코엘료 장편소설,파울로 코엘료 지음;이상해 옮김,문학동네,2004,,9.78898E+12,3890,879,"3,336",2005
9,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,2001,,9.78898E+12,3860,879,"3,329",2005
10,미실:김별아 장편소설,김별아 지음,문이당,2005,,9.78897E+12,3810,813.6,"3,031",2005
11,진주 귀고리 소녀,트레이시 슈발리에 지음;양선아 옮김,강,2003,,9.78898E+12,3840,843,"2,920",2005
12,나무,베르나르 베르베르 지음;이세욱 옮김,열린책들,2003,,9.78893E+12,3860,863,"2,864",2005
13,비밀과 거짓말:은희경 장편소설,은희경 지음,문학동네,2005,,9.78898E+12,3810,813.6,"2,844",2005
14,제3의 시나리오,김진명 저,랜덤하우스중앙,2004,1,9.78896E+12,4810,813.6,"2,776",2005
15,(김진명 장편소설)도박사,김진명 지음,대산출판사,2004,1,9.78894E+12,3810,813.6,"2,750",2005
16,천사와 악마,댄 브라운 지음;양선아 옮김,베텔스만 코리아,2004,2,9.78896E+12,4840,843,"2,748",2005
17,(공지영 소설)별들의 들판,공지영 지음,창비,2004,,9.78894E+12,3810,813.6,"2,741",2005
18,살아 있는 동안 꼭 해야 할 49가지,탄줘잉 편저;김명은 옮김,위즈덤하우스,2005,,9.78899E+12,3810,199.1,"2,739",2005
19,"평생 성적, 초등 4학년에 결정된다","김강일,김명옥 [공]지음",예담프렌드,2004,,9.789E+12,3000,598.58,"2,714",2005
20,꽃으로도 때리지 말라,김혜자 지음,오래된미래,2004,,9.789E+12,3810,818,"2,684",2005
21,제3의 시나리오,김진명 저,랜덤하우스중앙,2004,2,9.78896E+12,4810,813.6,"2,671",2005
22,천사와 악마,댄 브라운 지음;양선아 옮김,베텔스만 코리아,2004,1,9.78896E+12,4840,843,"2,596",2005
23,"10년 후, 한국",공병호 지음,해냄출판사,2004,,9.78897E+12,3320,320.911,"2,584",2005
24,(김진명 장편소설)도박사,김진명 지음,대산출판사,2004,2,9.78894E+12,3810,813.6,"2,542",2005
25,세상의 중심에서 사랑을 외치다 ,카타야마 쿄이치 지음 ;안중식 옮김,지식여행,2004,,9.78899E+12,4830,833.6,"2,526",2005
26,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,10,9.78893E+12,77940,909,"2,452",2005
27,박경림 영어 성공기,박경림|백선엽,디자인하우스,2004,,9.78897E+12,3740,,"2,387",2005
28,(아름다운 예술을 창조한 사람들)피카소,신옥철 글;민은경 그림,중앙교연,2002,,9.78898E+12,74080,990,"2,316",2005
29,울준비는 되어 있다,에쿠니 가오리 지음;김난주 옮김,소담출판사,2004,,9.78897E+12,3830,833.6,"2,275",2005
30,(21세기)먼나라 이웃나라,이원복 글·그림,김영사,2003-2004,11,9.78893E+12,77940,909,"2,266",2005
31,허풍선이 수탉,글·그림: 세이후 에덴 로우타,교원,2006,,9.78892E+12,74800,808.3,"2,251",2005
32,꼬마기차와 커다란 동물들,크리스토퍼 워멀 글·그림;공경희 옮김,행복한아이들,2003,,9.78899E+12,77840,843,"2,246",2005
33,공부9단 오기10단,박원희 지음,김영사,2004,,9.78893E+12,3810,373.4,"2,218",2005
34,낙하하는 저녁,에쿠니 가오리 지음;김난주 옮김,소담출판사,2004,,9.78897E+12,3830,833.6,"2,188",2005
35,선물,스펜서 존슨 지음;형선호 옮김,랜덤하우스중앙,2004,,9.78896E+12,3800,843,"2,187",2005
36,칭찬은 고래도 춤추게 한다,켄 블랜차드 외지음;조천제 옮김,북21,2003,,9.78895E+12,13320,189,"2,184",2005
37,(얀 마텔 장편소설)파이 이야기,얀 마텔 지음;공경희 옮김,작가정신,2004,,9.78897E+12,3840,843,"2,173",2005
38,황진이:전경린 장편소설,전경린 지음,이룸,2004,2,9.78896E+12,4810,813.6,"2,134",2005
39,폰더 씨의 위대한 하루,앤디 앤드루스 지음;이종인 옮김,세종서적,2003,,9.78898E+12,3840,199.1,"2,111",2005
40,우리들의 행복한 시간,공지영,푸른숲,2005,,9.78897E+12,3810,,"2,093",2005
41,수수깡 안경:이영철 동화집,이영철 글;신가영 그림,한길사,2002,,9.78894E+12,74810,813.6,"2,074",2005
42,불멸의 이순신:김탁환 장편소설,김탁환 지음,황금가지,2004,1,9.78898E+12,4810,813.6,"2,044",2005
43,황진이:전경린 장편소설,전경린 지음,이룸,2004,1,9.78896E+12,4810,813.6,"2,008",2005
44,인간,베르나르 베르베르 지음;이세욱 옮김,열린책들,2004,,9.78893E+12,3860,863,"1,972",2005
45,봉순이 언니,공지영 지음,푸른숲,1998,,9.78897E+12,3810,813.6,"1,937",2005
46,김약국의 딸들박경리 장편소설 ,박경리,나남출판,1997,,9.78893E+12,3810,813.6,"1,920",2005
47,당신의 주말은 몇 개입니까,에쿠니 가오리 지음;김난주 옮김,소담출판사,2004,,9.78897E+12,3830,834.6,"1,874",2005
48,여러 가지 소리들,허문선 글;손진희 그림,한국갈릴레이,2002,,9.78896E+12,74400,400,"1,860",2005
49,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,55,9.78898E+12,4840,843,"1,852",2005
50,조제와 호랑이와 물고기들,다나베 세이코 지음;양억관 옮김,작가정신,2004,,9.78897E+12,3830,833.6,"1,838",2005
51,돼지책,앤서니 브라운 글·그림;허은미 옮김,웅진닷컴,2001,,9.7889E+12,74840,843,"1,835",2005
52,New EQ의 천재들 (60권 + CD15장),로저 하그리브스,제닉스,2006,,9.78896E+12,74370,,"1,834",2005
53,웨하스 의자,에쿠니 가오리 지음;김난주 옮김,소담출판사,2004,,9.78897E+12,3830,833.6,"1,829",2005
54,집 없어도 땅은 사라:땅 투자로 돈버는 막강 재테크,김혜경 지음,국일증권경제연구소,2004,,9.78896E+12,3320,327.87,"1,822",2005
55,똥은 참 대단해!,글: 허은미;꾸밈: 조은화,웅진씽크빅,2006,,9.7889E+12,73810,375.1,"1,817",2005
56,(이보영의) 영어공부 비밀노트=Secret note,이보영 저,미디어코프,2006,,9.78893E+12,13740,740.7,"1,814",2005
57,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,,9.78897E+12,77850,813.6,"1,813",2005
58,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,51,9.78898E+12,4840,843,"1,809",2005
59,피에트라 강가에서 나는 울었네:파울로 코엘료 장편소설,파울로 코엘료 지음;이수은 옮김,문학동네,2003,,9.78898E+12,3860,879,"1,803",2005
60,연인 서태후,펄 S. 벅 지음;이종길 옮김,길산,2003,,9.789E+12,3820,843,"1,796",2005
61,모모,미하엘 엔데 지음;한미희 옮김,비룡소,1999,,9.78895E+12,43850,853,"1,793",2005
62,현의 노래:김훈 장편소설,김훈 지음,생각의 나무,2004,,9.78898E+12,3810,813.6,"1,774",2005
63,공부습관 10살 전에 끝내라!,가게야마 히데오 지음;[신현호 옮김],길벗,2005,,9.78898E+12,3000,598.58,"1,773",2005
64,그 많던 싱아는 누가 다 먹었을까 박완서 소설로 그린 자화상·유년의 기억,지은이: 박완서,웅진닷컴,1995,,9.7889E+12,3810,813.62,"1,765",2005
65,사람 풍경:김형경 심리·여행 에세이,김형경 지음,아침바다,2004,,9.78899E+12,3810,814.6,"1,763",2005
66,아이의 인생은 초등학교에 달려 있다,신의진 지음,랜덤하우스중앙,2004,,9.78896E+12,23590,598.124,"1,758",2005
67,설득의 심리학:사람의 마음을 사로잡는 6가지 불변의 법칙,로버트 치알디니 지음;이현우 옮김,북21,2002,,9.78895E+12,13320,181.92,"1,754",2005
68,고래 :천명관 장편소설 ,천명관 지음,문학동네,2004(2009쇄,,9.78898E+12,3810,813.7,"1,750",2005
69,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,2012,,9.78899E+12,77810,813.6,"1,748",2005
70,아이는 99% 엄마의 노력으로 완성된다,장병혜 지음,중앙M&B출판,2003,,9.78896E+12,13590,598.1,"1,735",2005
71,(이외수 장편소설)괴물,이외수 지음,해냄,2002,1,9.78897E+12,4810,813.6,"1,731",2005
72,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,53,9.78898E+12,4840,843,"1,723",2005
73,영어 1등은 초등학생 때 만들어진다,서석영 지음,랜덤하우스코리아,2007,,9.78896E+12,13740,740.7,"1,720",2005
74,멍멍 의사 선생님,배빗 콜 지음;박찬순 옮김,보림,2000,,9.78894E+12,77840,843,"1,706",2005
75,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,52,9.78898E+12,4840,843,"1,702",2005
76,실행에 집중하라,래리 보시디;김광수 옮김,21세기북스새날,2004,,9.78895E+12,13320,325,"1,700",2005
77,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,2003,54,9.78898E+12,4840,843,"1,698",2005
78,4의 규칙:역사추리소설,이안 콜드웰;정영문 옮김,랜덤하우스중앙,2004,1,9.78896E+12,4840,843,"1,691",2005
79,"(공병호의)10년 후, 세계",공병호 지음,해냄출판사,2005,,9.78897E+12,3320,321.9,"1,663",2005
