순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
1,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9.78894E+12,3810,813.7,"5,772",2010
2,Why? 나라의 시작 ,글: 이근 ;그림: 극동만화연구소,예림당,2009,1,9.78893E+12,73910,911,"5,078",2010
3,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,9,9.78894E+12,77400,400,"4,996",2010
4,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,2,9.789E+12,77810,539,"4,764",2010
5,Why? 고려 시대 ,글: 이근 ;그림: 극동만화연구소,예림당,2009,3,9.78893E+12,73910,911,"4,712",2010
6,베트남에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2009,20,9.78894E+12,77900,914.1,"4,711",2010
7,Why? 삼국의 경쟁 ,글: 이근 ;그림: 극동만화연구소,예림당,2009,2,9.78893E+12,73910,911,"4,707",2010
8,캐나다에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2008,19,9.78894E+12,77900,941,"4,690",2010
9,Why? 조선 전기 ,글: 이근 ;그림: 극동만화연구소,예림당,2009,4,9.78893E+12,73910,911,"4,669",2010
10,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,8,9.78894E+12,77400,400,"4,651",2010
11,영국에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,13,9.78894E+12,77900,924,"4,650",2010
12,Why? 조선 후기 ,글: 이근 ;그림: 극동만화연구소,예림당,2009,5,9.78893E+12,73910,911,"4,649",2010
13,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,5,9.789E+12,77810,539,"4,628",2010
14,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,10,9.78899E+12,77810,539,"4,619",2010
15,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,3,9.789E+12,77810,539,"4,596",2010
16,러시아에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,9,9.78894E+12,77900,929,"4,592",2010
17,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,7,9.78894E+12,77400,400,"4,571",2010
18,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,9,9.78899E+12,77810,539,"4,525",2010
19,태국에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,대한교과서,2008,16,9.78894E+12,77900,914.4,"4,499",2010
20,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,6,9.78894E+12,77400,400,"4,496",2010
21,스페인에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,15,9.78894E+12,77900,927,"4,491",2010
22,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,11,9.78899E+12,77840,539,"4,472",2010
23,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,5,9.78895E+12,77720,711.4,"4,465",2010
24,Why? :장수풍뎅이와 사슴벌레 ,글: 남춘자 ;만화: 최명구,예림당,2008,44,9.78893E+12,73490,495,"4,462",2010
25,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,6,9.78895E+12,77720,711.4,"4,455",2010
26,해리포터와 죽음의 성물,조앤 K 롤링 지음 ;최인자 옮김,문학수첩,2007,71,9.78898E+12,4840,843,"4,446",2010
27,Why? 응급처치,글: 파피루스;만화: 이준희,예림당,2007,34,9.78893E+12,73510,512,"4,443",2010
28,Why? 식품과 영양 ,글: 조영선 ;그림: 이영호,예림당,2008,40,9.78893E+12,73590,594,"4,395",2010
29,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,6,9.78899E+12,77810,539,"4,386",2010
30,호주에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2006,11,9.78894E+12,77900,962,"4,379",2010
31,터키에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,14,9.78894E+12,77900,918.7,"4,378",2010
32,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,3,9.78895E+12,77720,711.4,"4,376",2010
33,네덜란드에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,대한교과서,2008,17,9.78894E+12,77900,926.9,"4,373",2010
34,마법천자문 16 - 서로를 생각하는 마음 정情,스튜디오 시리얼,북이십일아울북,2008,16,9.78895E+12,,,"4,352",2010
35,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,2,9.78895E+12,77720,711.4,"4,342",2010
36,멕시코에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,대한교과서,2008,18,9.78894E+12,77900,943,"4,327",2010
37,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,2005-2006,5,9.78896E+12,74840,843,"4,325",2010
38,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,4,9.789E+12,77810,539,"4,298",2010
39,뉴문 :스테프니 메이어 장편소설 ,스테프니 메이어 [지음] ;변용란 옮김,대한교과서,2008,,9.78894E+12,3840,843,"4,283",2010
40,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,1,9.78894E+12,77400,400,"4,277",2010
41,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,2004,4,9.78895E+12,77720,711.4,"4,255",2010
42,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,2006-2015,8,9.78899E+12,77810,539,"4,231",2010
