순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
148,좀머 씨 이야기,파트리크 쥐스킨트 지음;유혜자 옮김,열린책들,1992,,9.78893E+12,3850,853,341,2001
149,(열한번째)사과나무:이용범 서정소설,이용범 지음,생각의 나무,2001,1,9.78898E+12,3810,813.6,340,2001
150,PC진단.문제해결:무작정 따라하기,이순원 지음,길벗,1999,,9.78898E+12,3000,4,339,2001
151,옆집 여자 :하성란 소설 ,지은이: 하성란,창작과비평사,2002,,9.78894E+12,3810,813.6,338,2001
152,날고 싶지 않은 독수리,제임스 애그레이 지음;김경연 옮김,풀빛,2000,,9.78897E+12,77850,853,336,2001
152,쎄느강은 좌우를 나누고 한강은 남북을 가른다 :문화비평 에세이 ,지은이: 홍세화,한겨레신문사,1999,,9.78898E+12,3810,814.62,336,2001
152,"신화, 그림으로 읽기",이주헌 지음,학고재,2000,,9.78899E+12,3600,654.9,336,2001
155,"아빠, 꽃밭 만들러 가요",송언 글;한지희 그림,사계절출판사,1999,,9.78897E+12,77810,813.8,335,2001
155,봄 여름 가을 겨울,법정 지음;류시화 엮음,이레,2001,,9.78899E+12,3810,814.6,335,2001
157,선인장 호텔,브렌다 기버슨 글;이명희 옮김,마루벌,2007,,9.78899E+12,77840,843,333,2001
158,(부자 아빠의)투자 가이드,로버트 기요사키;형선호 옮김,황금가지,2000,3,9.78898E+12,3320,327.83,331,2001
159,나에겐 분명 문제가 있다,데이비드 J. 리버만 지음;주미숙 옮김,창작시대사,2000,,9.78897E+12,3840,181.9,329,2001
160,참을 수 없는 존재의 가벼움,밀란 쿤데라 지음;이재룡 옮김,민음사,1999,,9.78894E+12,3890,892.963,327,2001
160,앨피가 일등이에요,셜리 휴즈 지음;조숙은 옮김,보림,2000,,9.78894E+12,77840,843,327,2001
160,고양이 ,글: 현덕 ;그림: 이형진,길벗어린이,2012,,9.78899E+12,77810,813.6,327,2001
163,영원한 것은 없다,시드니 셀던 지음;오호근 옮김,영림카디널,1994,,9.78899E+12,3840,843,326,2001
164,아씨방 일곱 동무,이영경 글.그림,비룡소,1998,,9.78895E+12,77810,813.8,325,2001
164,남자:유미리 소설,유미리 지음;김유곤 옮김,문학사상사,2000,,9.78897E+12,3830,833.6,325,2001
166,숲속의 요술물감,하야시 아키코 글.그림;고향옥 옮김,한림출판사,1999,,9.78897E+12,77830,833.6,324,2001
167,"미술, 공간, 도시:공공미술과 도시의 미래",맬컴 마일스 지음;박삼철 옮김,학고재,2000,,9.78899E+12,3600,539.7,322,2001
168,8020 법칙,리처드 코치 지음;공병호 옮김,북21,2001,,9.78895E+12,13320,325.04,321,2001
168,영어에 성공한 사람 17인이 털어놓는 영어 학습법,김준호 지음,홍익미디어,1997,,9.78898E+12,3740,740.7,321,2001
170,호랑이 잡은 피리,김달성 그림;강무홍 글,보림,1998,,9.78894E+12,74810,813.8,320,2001
170,부엌신:또 다른 인생 이야기,양귀자 저,살림,2000,,9.78895E+12,3810,814.6,320,2001
170,(세상에서 가장 쉬운)포토샵 5.5=Photoshop 5.5,배준석;이국주 [공]저,한국컴퓨터매거진,2000,,9.78898E+12,93560,4.76,320,2001
170,솔직히 말해서 나는 돈이 좋다,오숙희 지음,여성신문사,1999,,9.78899E+12,3810,818,320,2001
174,(대하예술소설)혼불,최명희 지음,한길사,1996,5,9.78894E+12,3810,813.6,319,2001
175,오늘 밤 내 동생이 오나요?,캐서린 월터스 글.그림;이화정 옮김,웅진출판,1999,,9.7889E+12,74840,843,318,2001
176,코리아닷컴=Korea.com,김진명 저,해냄출판사,2000,1,9.78897E+12,3810,813.6,317,2001
176,영어 일기=Hi! my diary,봉현선 엮음;김효진 [공]그림,글동산,2005,,9.78898E+12,73740,746,317,2001
178,아버지의 커다란 장화,고원정 외지음;이상권 [공]그림,웅진출판,1999,,9.7889E+12,72810,813.6,316,2001
178,가장 멋진 뽀뽀,히아윈 오람 글;이상희 옮김,웅진닷컴,2000,,9.7889E+12,74840,843,316,2001
178,내 거랑 바꿀래?,엘자 드베르누아 글,교원,2000,,9.78892E+12,,808.9,316,2001
178,오프라 윈프리의 특별한 지혜 ,빌 애들러 엮음 ;송제훈 옮김,집사재,1999,,9.78899E+12,3840,687.099,316,2001
178,오소리네 집 꽃밭,글: 권정생;그림: 정승각,길벗어린이,2006,,9.78899E+12,77810,813.6,316,2001
183,이원복 교수의 진짜 유럽이야기,이원복 글.그림,두산동아,1998,,9.7889E+12,3810,982.02,315,2001
184,병은 무엇이며 약은 무엇인가?,연상원 著,다나,1997,,9.78897E+12,3300,519.1,314,2001
184,하지 말라는 것은 다 재미있다 ,전유성 지음,경당,1999,,9.78899E+12,3810,818,314,2001
186,어린이를 위한 세계명화 이야기,삼성출판사 [편],삼성출판사,1999,,9.78892E+12,73650,650.8,313,2001
186,(신경숙 소설집)오래전 집을 떠날 때,신경숙 지음,창작과 비평사,1996,,9.78894E+12,3810,813.6,313,2001
188,(사랑스런)악처 서정희의 작은 반란,서정희 지음,중앙M&B,1998,,9.78898E+12,3810,818,312,2001
189,백만장자가 된 여성들의 특별한 원칙,베티나 플로러스;김양미 옮김,씨앗을 뿌리는 사람,2000,,9.78899E+12,3810,337.1,311,2001
190,연인,정호승 지음,열림원,1998,,9.78897E+12,3810,813.8,310,2001
190,만약,"사라 페리 (지은이), 이경우 (옮긴이)",아가월드(사랑이),2000,,9.78898E+12,,,310,2001
190,(귀가 뚫리고 말문이 터지는)꼭 외워야 할 영어명문 Best 20,김영숙 저,미국영어사,2000,,9.78899E+12,18740,747.4,310,2001
193,트레버가 벽장을 치웠어요,롭 루이스 글.그림;정해왕 옮김,비룡소,1996,,9.78895E+12,77840,843.8,309,2001
193,항아리 ,지은이: 정호승,열림원,1999,,9.78897E+12,3810,813.8,309,2001
193,이슬이의 첫 심부름,쓰쓰이 요리코,한림출판사,1991,,9.78897E+12,77890,,309,2001
193,우리는 사소한 것에 목숨을 건다,리처드 칼슨 지음;정영문 옮김,창작시대,2000,,9.78897E+12,3840,186.5,309,2001
193,모리와 함께한 화요일 ,미치 앨봄 지음 ;공경희 옮김,세종서적,2001,,9.78899E+12,3840,844,309,2001
193,가시고기 아빠의 아기사랑=Father thorny fish's love his baby,김미경 글;김희연 그림,아이누리,2000,,9.789E+12,77810,813.6,309,2001
199,귀머거리 너구리와 백석 동화나라,백석 글;이수지 그림,웅진씽크빅,2005,,9.7889E+12,74810,813.6,308,2001
199,작은 학교 이야기,강재훈 글;김영곤 그림,진선출판사,2000,,9.78897E+12,73810,813.6,308,2001
1,미스코리아 대회를 폭파하라,김신명숙 지음,이프,1999,,9.789E+12,3810,813.6,"4,694",2002
2,뚱딴지 명언 산책,김우영 글.그림,재능출판,1997,,9.78898E+12,77810,199.1,"4,192",2002
3,가슴이 따뜻한 천재로 키워라,시치다 마코토 지음;박지영 옮김,북뱅크,2001,,9.78899E+12,3370,598.122,"2,167",2002
4,바이올렛=신경숙 장편소설/Violet,신경숙 지음,문학동네,2001,,9.78898E+12,3810,813.6,"1,977",2002
5,봉순이 언니,공지영 지음,푸른숲,1998,,9.78897E+12,3810,813.6,"1,888",2002
6,연금술:현자의 돌,Andrea Aromatico 지음;성기완 옮김,시공사,1998,,9.78897E+12,3430,409,"1,647",2002
7,(조창인 장편소설)가시고기,조창인 지음,밝은세상,2000,,9.78898E+12,3810,813.6,"1,642",2002
8,수수깡 안경:이영철 동화집,이영철 글;신가영 그림,한길사,2002,,9.78894E+12,74810,813.6,"1,456",2002
9,달팽이과학동화,,보리,2000,,9.78898E+12,77400,400,"1,452",2002
10,마이너 리그:은희경 장편소설,은희경 지음,창작과비평사,2001,,9.78894E+12,3810,813.6,"1,376",2002
11,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,1,9.78897E+12,4810,813.6,"1,212",2002
